,Word,Count
91,park,5182
74,disney,4286
10,rides,3926
2,disneyland,3236
129,day,2989
149,time,2938
511,get,2622
281,would,2421
165,one,2329
95,go,2305
23,ride,2277
206,people,1856
36,food,1808
46,like,1437
170,us,1429
88,kids,1400
133,long,1396
8,back,1328
311,even,1319
313,2,1303
118,went,1300
202,closed,1293
274,could,1276
189,see,1263
26,visit,1249
581,wait,1247
141,really,1245
30,place,1241
86,staff,1234
76,not,1177
253,parks,1117
554,line,1113
89,much,1103
177,also,1100
92,around,1095
37,expensive,1066
3,times,1051
425,paris,1049
315,children,1036
826,fast,1031
301,minutes,1028
778,queue,1020
249,pass,1019
29,experience,1019
108,many,1011
187,small,1007
130,queues,976
711,3,951
42,got,940
314,days,936
114,good,931
375,lines,915
51,year,912
67,parade,887
415,little,880
1206,hours,873
264,two,870
1353,hour,840
279,going,839
13,first,828
38,take,809
5,still,796
471,well,779
22,mountain,774
198,attractions,774
93,world,762
525,characters,761
83,way,758
143,money,742
750,waiting,711
642,old,709
410,years,702
712,4,696
193,lot,695
153,hotel,691
120,5,689
322,disappointed,685
603,show,682
413,family,676
140,tickets,663
20,big,658
622,never,656
850,1,643
134,great,636
254,visited,625
583,think,614
75,trip,610
447,fun,607
832,say,607
104,told,600
90,every,598
783,last,593
184,better,586
719,open,571
452,bad,570
853,least,559
6,want,556
632,in,551
244,need,550
1312,magic,548
35,fireworks,547
190,everything,537
73,make,532
993,worth,525
188,enough,513
539,california,506
630,however,506
473,space,505
660,find,503
1129,10,498
851,half,491
424,florida,489
700,early,486
7,come,484
77,crowded,481
247,know,477
285,ticket,477
219,said,473
1592,another,472
229,took,471
670,cannot,471
183,quite,467
448,main,462
128,crowds,461
139,spent,458
1104,things,455
1890,service,453
439,thing,451
403,night,448
521,bit,445
361,made,440
204,due,436
209,though,432
300,30,426
687,found,425
884,busy,424
270,left,423
323,train,421
656,rude,413
240,next,406
457,always,402
267,use,390
50,new,379
421,nothing,378
1224,whole,376
263,getting,375
207,price,375
435,something,373
159,end,372
205,less,372
318,must,371
893,wanted,371
280,walk,370
827,passes,370
59,theme,368
173,let,367
709,feel,367
483,since,365
340,prices,365
201,restaurants,360
69,recommend,353
337,pay,353
273,front,349
997,daughter,348
489,lots,346
635,three,340
843,poor,339
34,stay,337
519,adults,337
126,expect,337
942,mickey,335
166,cast,334
136,young,334
1027,saw,334
1102,spend,333
33,everyone,333
579,20,331
135,especially,329
5267,french,326
19,love,324
32,child,322
409,6,322
503,disappointing,320
1171,water,319
971,etc,316
501,enjoy,316
967,sure,315
636,expected,313
43,different,310
789,eat,309
327,several,307
162,buy,306
1347,walking,304
419,overall,303
3602,thunder,301
232,area,298
537,no,296
729,magical,295
903,adventure,294
2154,pirates,292
1222,away,292
192,week,291
845,done,290
527,felt,290
266,used,290
24,thought,289
765,full,288
167,members,286
914,enjoyed,286
395,although,285
320,ever,284
580,minute,283
53,may,283
708,land,281
1964,came,281
80,without,279
251,entrance,278
999,meet,278
1,kong,278
0,hong,277
175,queuing,277
502,attraction,276
1772,able,276
317,actually,276
1736,waited,274
414,definitely,274
383,on,274
762,almost,273
643,ones,273
486,bring,272
958,restaurant,271
287,return,271
2019,cold,270
540,orlando,269
1756,paid,268
325,castle,266
671,shows,264
12,try,264
355,cost,264
1236,fastpass,262
293,lunch,261
1594,anything,261
3142,smoking,260
1310,far,260
623,either,259
299,15,259
529,nice,258
715,hot,257
477,shops,257
683,star,256
102,son,254
514,looking,253
1252,plan,252
328,areas,251
1277,seemed,249
1427,45,249
515,visiting,248
148,guests,248
532,places,246
488,meal,245
1782,stayed,244
987,8,244
966,couple,244
453,yes,243
500,holiday,243
390,second,242
278,point,242
1278,character,242
1656,else,242
147,number,241
1573,everywhere,241
610,7,241
4337,broke,240
339,high,240
1509,stand,239
451,past,238
658,asked,238
84,smaller,238
371,right,237
186,short,237
1055,part,236
901,season,235
58,christmas,234
238,arrived,234
878,outside,233
404,weather,232
772,huge,231
2718,euros,230
4,already,230
1640,trying,229
3953,jones,228
726,mins,228
220,later,228
746,best,228
1343,extra,228
821,parades,227
96,hard,227
142,waste,226
577,pretty,225
625,give,225
714,late,225
437,maybe,225
835,street,225
213,disappointment,224
277,tired,223
480,friendly,222
1215,leave,222
1121,start,221
70,check,220
411,ago,220
1670,break,219
442,studios,219
844,probably,218
482,quality,218
2486,morning,217
1157,earth,216
812,look,216
1321,room,215
1232,broken,214
1549,seems,214
1411,per,213
2149,keep,213
920,inside,211
1270,person,211
119,hk,210
387,close,209
1170,save,209
1342,working,209
1436,help,208
364,evening,208
1646,wrong,207
1156,happiest,206
784,prepared,206
498,decided,205
111,toilets,205
212,avoid,204
3952,indiana,204
474,extremely,204
922,crowd,204
676,work,203
157,given,203
694,seem,202
1086,ok,201
833,unfortunately,201
1210,shut,200
2111,standing,200
619,amazing,198
289,drink,198
1303,longer,198
366,seen,198
85,others,198
948,worst,198
887,average,197
522,compared,196
214,tried,195
542,loved,195
1972,put,194
1192,overpriced,194
138,amount,194
1230,system,194
799,walt,193
1174,available,192
2418,member,190
1107,started,189
877,drinks,189
276,twice,188
15,finally,187
1014,security,187
282,instead,186
586,40,186
2536,needs,185
113,clean,184
345,taking,184
195,bought,183
484,visitors,183
2472,problem,183
307,rather,182
996,weekend,181
1013,lack,181
1888,customer,179
575,fact,178
939,managed,178
1474,technical,177
1280,looked,175
1489,four,175
362,rest,175
1511,real,174
956,near,173
462,buzz,173
56,summer,173
151,booked,171
972,ridiculous,170
2155,caribbean,170
430,haunted,169
611,9,168
797,watch,167
1747,school,167
1761,princess,167
859,photo,166
738,english,166
818,we,166
819,single,165
2582,anyone,165
1733,sit,165
2343,coaster,163
1715,parking,162
944,book,162
27,understand,162
493,major,162
2192,side,162
737,light,161
3945,run,160
857,course,160
116,plenty,160
485,allowed,159
617,home,159
475,helpful,158
805,absolutely,158
226,taken,157
1914,plus,156
707,euro,156
400,sad,155
1382,app,155
888,60,154
3065,husband,153
1189,entire,153
538,gone,153
161,enter,152
391,coming,152
1255,12,151
1560,disabled,149
65,special,149
1929,walked,149
1220,adult,148
200,50,148
137,kid,148
1008,age,148
1064,peter,148
2801,kept,148
412,behind,147
57,halloween,147
1685,happy,147
1913,queued,147
965,wife,147
932,yet,147
1132,miss,146
875,limited,146
1743,tell,145
490,free,145
1590,breakfast,145
261,entry,144
1322,totally,144
1072,nearly,143
1498,maintenance,142
571,usa,141
1676,dirty,141
398,stop,141
2680,employees,141
380,bus,140
916,packed,140
324,running,140
2637,90,140
2148,possible,140
64,might,140
566,making,140
564,awful,140
2256,pushing,139
235,car,139
974,opened,139
1665,parents,139
1349,any,139
653,paying,138
363,afternoon,138
1522,cars,137
1076,worse,137
776,terrible,137
1421,needed,137
17,ended,137
870,unless,137
1517,anywhere,136
1065,pan,135
1976,families,134
370,station,134
336,reason,134
222,gave,133
4424,problems,133
2235,name,133
774,opening,133
885,move,132
455,ages,131
1176,mouse,130
764,despite,130
1376,offer,130
891,princesses,130
675,someone,129
906,min,129
1050,except,129
1667,disneyworld,128
174,access,128
2066,priced,127
609,dinner,127
1301,total,127
559,gate,126
680,holidays,125
735,issues,125
1588,staying,125
1147,slow,125
1161,set,124
1042,care,124
423,anaheim,124
1160,mind,124
933,peak,124
82,choice,124
624,simply,124
650,lost,124
360,fantastic,124
479,merchandise,123
2218,turned,123
697,large,123
871,order,122
1223,crazy,122
787,value,122
1488,review,121
396,rain,120
2248,difficult,120
1621,hardly,120
2679,throughout,119
5736,hopper,119
846,forward,119
549,11,119
1589,hotels,119
