,Word,Count
120,park,2613
123,disney,2386
157,rides,2003
158,time,1449
100,day,1332
35,would,1324
55,get,1278
402,one,1235
3,disneyland,1098
219,go,1089
233,food,1082
307,ride,1070
241,paris,960
39,people,920
57,staff,862
215,queue,789
342,us,783
267,queues,763
111,closed,748
76,like,719
152,could,699
34,even,686
282,see,683
132,parks,680
167,children,678
43,back,667
105,went,658
8,long,631
303,really,628
80,kids,619
148,around,606
20,also,604
159,minutes,601
73,not,572
481,expensive,571
154,wait,567
329,visit,556
519,good,553
97,place,546
40,much,535
310,times,529
15,fast,529
703,hotel,516
421,days,514
146,characters,502
240,experience,492
313,hours,479
440,year,478
9,got,478
494,two,476
156,many,474
321,hour,469
512,little,442
110,attractions,441
276,parade,423
814,going,409
150,take,406
201,pass,398
44,money,392
258,first,388
72,waiting,379
398,show,378
36,well,377
441,old,376
62,small,372
805,open,372
107,big,368
379,mountain,368
606,way,360
269,lot,353
608,florida,351
117,great,349
180,visited,349
125,years,333
81,disappointed,332
163,still,331
390,magic,323
635,half,318
542,think,317
2,line,316
603,french,316
311,need,310
1,tickets,310
382,told,309
443,say,308
86,never,307
70,in,305
331,last,303
400,better,303
78,bad,301
469,enough,288
721,want,287
255,however,287
435,least,285
340,family,282
495,restaurants,279
138,every,278
954,trip,275
79,service,273
160,world,270
118,train,266
418,quite,265
290,find,263
101,bit,263
409,main,263
997,found,262
109,thing,259
256,another,259
572,everything,259
173,know,256
161,make,256
243,poor,254
483,things,248
226,took,247
863,smoking,245
30,euros,244
196,said,240
1081,come,235
66,rude,233
774,left,233
471,queuing,233
135,whole,232
778,space,230
23,ticket,227
346,next,227
1490,due,222
1190,made,221
462,expect,221
575,spent,220
87,worth,218
266,busy,216
6,lines,215
153,meet,214
683,though,213
363,let,213
447,cannot,212
365,nothing,211
412,daughter,211
1045,end,211
50,eat,208
378,thunder,208
638,stay,207
4,something,207
1000,mins,206
715,cold,202
960,fun,201
798,shops,198
33,child,197
220,front,196
293,lots,195
330,three,194
247,early,194
1314,toilets,189
901,etc,187
1403,prices,186
794,use,186
82,wanted,185
432,expected,184
996,restaurant,184
274,saw,183
71,disappointing,182
516,fireworks,182
485,meal,182
166,young,181
431,although,179
964,adults,179
502,stayed,178
1320,theme,178
286,feel,178
791,pay,178
835,studios,178
5,recommend,177
26,price,176
983,night,176
260,mickey,175
249,cost,170
548,no,169
49,getting,168
819,character,167
364,areas,166
506,away,164
116,overall,164
170,walk,163
298,must,162
147,walking,161
41,spend,159
103,less,159
27,euro,158
758,magical,157
1224,lunch,156
197,minute,156
52,everywhere,155
832,pirates,155
284,on,155
1335,everyone,155
980,drink,153
873,new,153
1041,holiday,152
1267,thought,152
467,different,151
549,room,151
762,looking,150
253,felt,150
834,done,149
839,th,149
304,enjoyed,149
112,either,149
94,came,149
806,ones,148
165,especially,147
776,several,146
449,actually,145
1204,sure,145
1200,princess,144
251,far,144
90,without,143
509,ok,142
236,seemed,142
214,paid,142
29,extra,141
420,full,140
488,water,140
248,arrived,139
360,cast,139
981,orlando,139
1091,always,139
326,return,139
130,anything,138
22,entrance,138
14,buy,138
944,son,137
65,able,136
377,waited,136
0,booked,136
333,attraction,136
231,number,136
810,quality,135
711,seem,135
1059,places,135
924,parades,135
419,working,135
114,weather,134
137,guests,134
704,nice,134
871,may,134
195,outside,134
1354,used,132
271,look,131
476,second,131
408,queued,131
515,waste,130
359,lack,129
341,give,129
942,shut,129
724,ever,129
1093,couple,128
1649,asked,128
529,book,127
510,technical,127
1101,start,127
998,best,127
452,tired,126
685,overpriced,126
384,broke,126
239,loved,125
1250,castle,125
134,amazing,125
423,broken,124
16,passes,124
1077,save,124
446,huge,124
1471,high,124
761,enjoy,124
1419,point,123
262,star,123
472,given,122
58,trying,122
527,prepared,122
294,drinks,122
297,definitely,121
1374,buzz,120
1593,part,120
356,short,120
477,put,120
1378,late,119
317,english,118
531,breakfast,118
361,members,118
804,area,118
622,hot,117
931,ago,117
844,yes,116
1119,plan,116
1030,almost,115
925,evening,115
856,member,115
312,looked,115
616,coaster,114
809,disappointment,114
68,friendly,114
991,shows,113
514,since,113
332,four,113
60,amount,113
1794,christmas,113
637,managed,112
554,real,112
1365,unfortunately,112
355,extremely,112
191,worst,111
12,help,111
393,past,111
54,right,111
362,available,111
1006,else,111
17,decided,111
1206,village,110
289,try,109
750,walt,109
740,needs,109
401,week,109
345,visiting,109
667,per,108
186,probably,107
7,already,107
678,average,107
553,seen,106
47,absolutely,106
391,love,106
1032,disabled,105
851,wrong,105
238,california,105
172,person,105
580,clean,105
257,later,104
914,rather,104
370,fact,104
89,fastpass,104
396,bring,104
1140,hard,104
451,others,103
558,dirty,102
709,bus,102
464,work,102
833,check,101
143,seems,101
192,peter,101
1249,inside,101
645,close,101
862,problem,100
93,we,99
864,allowed,99
1121,tried,99
604,keep,98
2725,pretty,98
880,jones,98
281,crowds,98
371,visitors,98
38,system,97
1523,anyone,97
556,caribbean,97
275,princesses,97
425,season,96
1034,nearly,96
628,maybe,96
83,leave,96
205,customer,95
1710,smoke,95
319,whilst,95
830,france,94
193,pan,93
564,land,93
399,run,93
1087,despite,93
442,weekend,93
162,stand,93
658,twice,93
1285,home,93
479,limited,92
242,awful,92
926,light,92
605,pushing,91
607,near,91
316,understand,91
380,min,90
410,street,90
2337,problems,90
74,sit,89
1144,instead,89
636,anywhere,88
