,Word,Count
90,park,38351
85,disney,30720
14,rides,29666
1,disneyland,28869
32,time,26081
20,day,24909
409,get,19673
181,go,17171
13,one,16401
50,great,15864
464,ride,15158
123,would,14493
202,kids,12537
113,good,12215
162,food,12173
104,place,11803
106,really,10832
33,visit,10232
733,see,10145
69,like,10047
139,much,9931
214,went,9598
322,fun,9338
115,also,9228
610,fast,8899
332,parks,8751
381,pass,8664
624,people,8594
869,long,8484
345,back,8456
652,us,8265
323,2,8196
426,first,8192
400,wait,8176
299,show,7819
330,many,7761
91,even,7740
341,days,7723
43,experience,7695
28,well,7638
565,times,7626
129,around,7510
135,parade,7380
151,not,7269
16,world,7143
353,could,7041
321,still,6979
524,take,6872
471,year,6821
666,characters,6810
71,mountain,6669
347,children,6504
19,worth,6329
243,best,6317
258,staff,6278
367,3,6258
216,loved,6250
356,fireworks,6237
93,got,6174
472,old,6068
359,family,6038
555,lines,5993
154,amazing,5865
148,attractions,5831
757,hotel,5814
465,line,5812
176,going,5757
938,paris,5741
460,make,5712
222,little,5676
640,every,5655
126,lot,5616
542,trip,5584
203,love,5566
15,small,5480
277,two,5410
26,queues,5313
209,everything,5177
303,better,5154
221,magic,5054
843,always,5032
343,early,5017
137,5,5003
146,queue,4888
150,minutes,4883
425,magical,4870
508,expensive,4817
124,big,4786
161,way,4751
172,enjoyed,4640
430,california,4612
143,enjoy,4507
432,years,4413
21,visited,4411
509,want,4368
461,sure,4351
796,4,4325
948,night,4303
138,hours,4132
70,space,4132
270,shows,4117
290,must,4117
9,main,4067
456,nice,4050
366,need,4040
313,never,3965
436,tickets,3951
630,recommend,3938
219,think,3852
25,busy,3774
403,waiting,3741
207,hour,3738
431,10,3733
218,though,3720
469,new,3711
211,in,3700
75,1,3699
337,lots,3674
261,say,3660
80,bit,3638
160,closed,3588
747,use,3560
264,come,3547
206,took,3529
649,things,3515
639,cannot,3498
67,however,3471
522,adventure,3427
40,land,3412
419,mickey,3399
360,made,3389
380,enough,3383
278,ticket,3379
685,passes,3363
547,clean,3360
424,train,3332
832,crowds,3293
183,crowded,3256
157,quite,3235
402,definitely,3233
159,castle,3211
31,last,3204
434,able,3192
141,everyone,3191
36,stay,3104
111,theme,3081
54,whole,3053
316,florida,3038
564,found,3035
8,walk,3012
416,parades,2975
4,hong,2967
1864,thing,2958
339,money,2953
926,friendly,2933
5,kong,2925
537,different,2901
489,adults,2899
3,find,2876
482,wonderful,2865
374,fantastic,2865
53,especially,2815
326,spent,2806
852,water,2798
244,plan,2796
1328,end,2767
212,know,2759
444,next,2705
12,feel,2703
10,street,2696
215,daughter,2672
64,less,2623
793,right,2622
30,since,2621
351,young,2610
46,open,2597
588,try,2584
66,something,2554
437,getting,2544
153,although,2540
2771,another,2524
237,restaurants,2506
742,christmas,2488
466,30,2459
191,etc,2453
840,happy,2440
643,walking,2433
1735,least,2396
856,eat,2386
388,smaller,2366
568,wanted,2353
766,full,2349
73,star,2343
338,spend,2339
1219,stayed,2319
601,bring,2318
702,pirates,2308
480,overall,2304
680,fastpass,2292
483,buy,2271
983,meet,2238
395,easy,2219
223,ones,2202
57,area,2176
371,6,2174
256,service,2166
734,pretty,2121
76,cast,2120
240,week,2107
0,ever,2106
598,special,2105
517,price,2097
140,plenty,2090
875,weather,2088
1272,expect,2084
567,done,2082
23,hot,2054
393,child,2053
281,may,2053
1181,half,2053
1130,without,2048
134,evening,2042
435,free,2017
379,awesome,2015
672,lunch,2010
165,shops,2007
1693,thunder,2004
1010,holiday,2000
429,20,1981
378,helpful,1979
651,front,1978
99,attraction,1975
417,saw,1966
648,morning,1966
317,thought,1963
121,visiting,1952
1687,studios,1949
291,miss,1942
152,bad,1938
1467,places,1919
667,used,1909
2888,jones,1870
189,prices,1865
34,hk,1856
267,entrance,1852
879,said,1848
858,away,1846
77,members,1845
136,8,1823
364,huge,1821
389,expected,1818
711,three,1815
385,character,1814
953,part,1811
481,beautiful,1802
2887,indiana,1796
609,yes,1793
117,inside,1780
532,15,1780
585,couple,1772
566,short,1770
1093,son,1767
373,ages,1755
342,second,1755
1961,7,1741
1065,check,1732
1127,light,1728
451,on,1717
2368,look,1713
1944,watch,1709
79,felt,1696
519,excellent,1685
533,minute,1684
