,Word,Count
3,park,1842
87,disneyland,1515
156,rides,1348
7,disney,1258
79,day,1244
158,time,1136
246,get,1124
100,ride,961
240,go,949
235,would,804
828,one,779
37,people,769
114,line,683
125,lines,606
268,long,590
113,wait,570
26,back,551
96,pass,545
207,place,518
220,like,499
43,us,491
145,could,479
187,went,473
813,kids,472
44,even,471
95,fast,447
563,not,439
175,times,438
858,visit,431
5,see,431
110,many,431
85,really,428
185,closed,428
283,food,417
34,got,393
157,much,384
241,california,372
251,experience,358
442,minutes,357
629,world,357
536,year,351
594,going,350
411,days,345
441,first,344
77,expensive,337
90,crowded,335
179,around,332
298,way,331
102,hours,327
473,crowds,326
584,still,326
238,also,321
371,two,314
140,family,312
164,mountain,311
259,little,306
234,hour,304
386,fun,293
245,years,291
205,never,287
1106,well,283
342,trip,282
93,money,281
628,small,277
17,take,277
749,parks,271
2,tickets,268
86,disappointed,263
587,parade,262
101,every,262
70,staff,248
242,adventure,248
22,told,247
394,lot,247
803,fireworks,245
404,early,242
88,old,241
65,good,238
257,make,234
274,waiting,232
261,say,231
232,passes,231
217,last,226
141,think,223
262,least,220
777,night,219
469,always,218
228,children,210
380,attractions,208
336,cannot,208
508,great,204
465,worth,202
1154,better,201
263,everything,201
1058,space,201
493,big,197
31,come,197
789,ticket,196
406,magic,194
988,want,190
338,since,189
76,in,187
760,show,185
322,said,183
637,bad,182
906,spent,180
398,use,178
882,busy,178
458,love,178
551,cast,178
460,getting,176
255,earth,176
608,know,176
602,need,173
489,find,171
58,another,171
579,took,169
739,walk,168
611,new,167
431,made,167
254,happiest,167
362,things,162
927,less,160
301,visited,159
181,due,157
91,prices,157
129,characters,153
4,wanted,151
807,week,150
52,price,150
410,next,149
702,however,149
1108,members,148
390,everyone,147
580,though,147
424,enough,146
66,thing,146
395,open,145
57,left,145
316,service,143
383,fastpass,142
676,feel,140
705,several,139
103,pay,139
950,area,138
457,used,137
210,especially,135
597,ever,134
28,hotel,132
1456,water,130
299,spend,130
1822,main,130
1410,enjoy,128
674,break,128
256,sure,127
173,jones,126
318,rude,125
556,stand,124
618,pirates,124
47,something,124
573,bring,124
1541,th,124
308,buy,123
360,found,121
660,almost,120
222,must,120
315,different,119
1433,season,119
962,able,119
886,waited,118
215,crowd,116
1295,end,115
801,walking,115
10,nothing,115
596,came,114
35,saw,114
107,front,114
917,half,114
172,indiana,113
606,let,113
1,paid,113
300,lots,113
829,parking,112
372,three,112
250,magical,111
631,star,110
332,done,110
576,later,110
389,recommend,109
1235,past,109
724,plan,109
1010,hopper,108
323,try,107
1724,morning,107
633,land,107
582,quite,106
174,broke,106
1153,on,105
282,else,105
543,standing,105
703,bit,105
471,christmas,104
464,minute,103
51,full,103
170,no,103
581,actually,102
353,return,102
377,hard,101
183,haunted,100
78,disappointing,100
1511,street,100
337,anything,99
409,thought,98
665,queues,98
219,felt,98
1386,entrance,98
163,splash,98
1426,yes,97
1783,employees,97
115,longer,97
289,florida,97
1363,right,96
30,leave,96
264,expected,96
25,away,96
236,without,96
1120,stay,95
425,keep,95
996,may,95
700,guests,95
479,child,94
565,asked,94
1158,point,94
396,definitely,93
330,already,92
33,finally,92
12,couple,92
804,seemed,92
177,daughter,92
745,mickey,91
340,whole,91
199,app,91
1258,seems,91
851,trying,90
1767,maybe,89
388,overall,88
23,either,88
809,visiting,88
788,per,87
159,broken,87
227,young,87
742,huge,86
850,theme,85
192,part,85
1112,move,85
759,etc,85
266,check,85
947,person,85
968,work,84
2145,matterhorn,84
470,adults,84
1747,thunder,84
447,started,84
544,son,83
451,sad,83
109,wrong,83
1005,far,83
8,castle,82
224,number,82
716,orlando,82
1245,crazy,81
349,late,81
681,system,81
1124,disneyworld,81
1881,annual,81
1609,places,80
1257,waits,80
1096,best,80
1115,gone,80
104,extra,80
638,pretty,80
248,enjoyed,80
285,high,80
452,walt,79
1777,ones,79
357,probably,78
932,summer,78
640,close,78
1206,help,78
89,tired,78
1292,hot,78
168,attraction,78
845,single,77
837,security,77
1188,school,76
671,decided,76
868,halloween,76
474,stroller,76
902,friendly,76
502,vacation,76
832,entire,76
846,shows,75
755,second,75
1122,avoid,75
1123,cost,75
269,short,75
816,coming,75
2367,rest,75
1448,weekend,75
622,ago,75
695,start,75
375,instead,74
835,strollers,74
327,customer,74
1978,watch,73
16,tried,73
1255,expect,73
624,kid,73
319,nice,73
176,husband,73
694,evening,72
184,mansion,72
64,disappointment,72
757,eat,72
370,member,71
400,smaller,71
570,major,71
753,party,70
744,wife,70
1040,behind,70
1885,kept,70
414,ridiculous,69
127,poor,69
180,twice,69
504,families,69
475,side,69
387,waste,68
654,arrived,68
997,needs,68
1307,amount,68
279,looking,68
2127,caribbean,67
758,lunch,67
2072,give,67
272,min,67
267,extremely,67
1477,problem,66
247,although,66
1063,save,65
805,happy,65
1824,areas,65
1405,everywhere,65
684,enter,65
904,packed,65
898,running,65
896,shut,65
46,working,64
15,walked,64
752,sit,64
1011,run,63
160,we,63
275,cars,63
162,inside,63
131,seen,63
82,gate,62
1097,outside,62
908,plus,62
922,guess,62
650,usually,61
290,universal,61
1350,parades,61
60,holiday,61
304,bought,61
483,look,61
965,tell,61
799,prepared,60
903,taking,60
320,sorry,59
982,near,59
1510,spring,59
133,admission,59
405,entry,59
277,helpful,58
1370,spot,58
2084,worst,58
106,queue,58
9,paying,57
632,wars,57
1209,train,57
135,put,56
653,yet,56
1740,special,56
707,loved,56
119,makes,56
693,afternoon,55
1621,worse,55
1425,life,55
715,lost,55
392,given,55
940,restaurants,55
738,room,55
1354,fantasmic,55
509,unfortunately,54
1402,impossible,54
1132,reason,54
1896,care,54
352,amazing,54
1072,horrible,53
472,difficult,53
116,others,53
497,mean,53
1775,opening,53
1282,quality,53
1323,anaheim,52
943,free,52
525,possible,52
368,course,52
574,wish,52
1576,four,51
1054,guest,51
403,fact,51
1098,downtown,51
313,happened,51
1336,parents,51
1398,making,51
273,ended,51
1095,average,51
970,remember,51
1202,stop,50
1832,slow,50
2120,seem,50
209,offer,50
613,anyone,50
211,large,50
2730,compared,49
6,original,49
639,live,49
56,available,49
712,character,49
3305,opened,49
1421,home,49
1249,clean,49
421,overpriced,49
178,turned,48
1134,terrible,48
1840,dinner,48
491,looked,48
