,Word,Count
91,park,718
74,disney,628
2,disneyland,626
10,rides,561
128,day,416
185,small,356
148,time,344
164,one,307
36,food,306
88,kids,302
277,would,288
95,go,266
26,visit,250
1,kong,250
0,hong,249
23,ride,238
119,hk,222
46,like,217
497,get,215
67,parade,202
140,really,184
89,much,182
76,not,176
30,place,175
132,long,173
176,also,172
29,experience,169
118,went,168
249,parks,164
203,people,164
169,us,160
305,even,160
753,queue,157
37,expensive,154
92,around,153
308,children,147
187,see,145
5,still,139
114,good,137
93,world,133
404,little,132
38,take,124
86,staff,124
196,attractions,123
585,show,121
35,fireworks,120
457,well,116
250,visited,116
539,line,113
433,fun,112
129,queues,110
8,back,107
565,wait,106
59,theme,105
511,characters,103
963,worth,103
108,many,102
726,waiting,99
270,could,98
199,closed,98
181,quite,95
366,lines,94
22,mountain,94
316,train,93
621,old,92
191,lot,92
13,first,91
315,disappointed,91
20,big,89
51,year,89
311,must,88
295,minutes,88
139,tickets,87
508,compared,86
438,bad,86
399,years,84
133,great,83
84,smaller,82
182,better,81
402,family,80
485,chinese,80
260,two,80
275,going,80
3,times,79
6,want,79
186,enough,78
686,land,77
307,days,76
650,shows,76
507,bit,76
188,everything,75
1172,hours,74
567,think,73
459,space,73
611,in,73
1312,hour,72
411,paris,72
505,adults,71
914,mickey,70
206,though,70
245,pass,69
42,got,69
639,find,68
609,however,67
69,recommend,66
434,main,66
135,young,66
807,say,65
240,need,65
142,money,65
487,enjoy,64
77,crowded,63
758,last,62
691,hot,62
469,since,61
83,way,61
601,never,61
403,definitely,60
488,attraction,59
318,castle,59
50,new,57
281,ticket,56
201,due,56
138,spent,56
827,least,55
90,every,55
226,took,55
886,enjoyed,55
394,weather,55
825,half,54
470,visitors,54
635,rude,54
53,may,54
75,trip,53
1190,whole,53
352,made,53
393,night,53
724,king,52
482,ocean,52
202,less,52
405,overall,52
723,lion,51
695,open,51
501,visiting,51
7,come,51
407,nothing,50
801,fast,50
702,mins,50
1192,mainland,50
515,nice,50
412,tokyo,49
1137,water,49
649,cannot,49
526,orlando,49
216,said,48
687,feel,47
425,thing,47
134,especially,47
679,early,47
204,price,47
892,inside,47
622,ones,47
562,pretty,47
360,mtr,46
243,know,46
714,english,46
158,end,46
12,try,46
740,full,45
938,sure,45
967,daughter,45
266,left,45
942,etc,45
209,avoid,45
472,bring,44
1070,spend,44
1072,things,44
104,told,43
1098,miss,43
247,entrance,43
161,buy,43
513,felt,42
152,hotel,42
410,florida,42
833,photo,41
125,expect,41
1193,tourists,41
443,always,41
172,let,41
184,short,41
385,although,41
1537,another,40
666,found,40
43,different,40
930,restaurant,40
229,area,40
421,something,40
193,bought,40
19,love,40
73,make,39
423,maybe,39
338,taking,39
1955,china,39
80,without,39
276,walk,38
465,merchandise,38
489,disappointing,38
210,disappointment,38
269,front,38
737,almost,38
861,average,38
1253,toy,38
386,rain,38
1194,size,37
289,lunch,37
1826,service,37
852,outside,37
463,shops,37
85,others,37
127,crowds,37
24,thought,37
475,lots,37
1254,story,36
330,pay,36
556,usa,36
866,wanted,36
34,stay,35
301,rather,35
332,high,35
380,second,35
1366,hkd,35
808,unfortunately,35
21,grizzly,35
810,street,34
418,mystic,34
102,son,34
500,looking,34
849,limited,33
64,might,33
70,check,33
997,saw,33
820,done,33
1025,part,33
894,crowd,33
614,three,33
615,expected,33
409,anaheim,33
466,friendly,32
32,child,32
254,man,32
190,week,32
819,probably,32
1270,far,31
699,photos,31
468,quality,31
362,right,31
236,next,31
259,getting,31
33,everyone,31
523,no,31
796,parades,30
772,watch,30
1140,available,30
283,return,30
113,clean,30
357,seen,30
116,plenty,30
4,already,30
439,yes,30
623,u,29
920,worst,29
377,close,29
1181,leave,29
604,give,29
1188,away,29
858,busy,29
354,afternoon,29
361,station,29
253,iron,29
1736,n,29
1272,magic,29
1032,la,29
525,california,29
141,waste,28
1306,walking,28
448,buzz,28
400,ago,28
486,holiday,28
174,queuing,28
195,easy,28
235,arrived,28
1186,adult,28
310,actually,28
136,kid,27
764,eat,27
912,cover,27
1103,boring,27
1386,heat,27
2174,pushing,27
1282,totally,26
705,magical,26
1786,cut,26
1600,else,26
272,twice,26
690,late,26
1155,entire,26
1559,dont,26
198,restaurants,26
518,places,26
851,drinks,26
1458,real,26
1276,options,26
1093,disneylands,25
969,meet,25
527,comparison,25
1217,plan,25
822,compare,25
1238,character,25
471,allowed,25
274,point,25
606,public,25
677,older,25
460,extremely,25
664,gulch,25
1933,shopping,25
156,given,25
1056,ok,24
27,understand,24
823,hongkong,24
419,manor,24
427,universal,24
662,star,24
1539,anything,24
2154,name,24
787,look,23
1341,cheaper,23
619,smallest,23
937,couple,23
1603,usual,23
759,prepared,23
560,fact,23
353,rest,23
713,light,23
1837,younger,23
183,disneys,23
278,instead,23
1020,except,22
964,jungle,22
96,hard,22
1518,everywhere,22
928,near,22
320,several,22
1048,weekday,22
1053,minnie,22
223,taken,22
1062,bored,22
2401,morning,22
1456,stand,22
333,prices,22
1945,cold,22
984,security,22
1122,happiest,22
991,teenagers,22
989,live,22
831,course,22
474,meal,22
1223,suggest,21
936,wife,21
388,stop,21
1913,fee,21
564,minute,21
355,evening,21
555,japan,21
477,enjoyable,21
1076,missed,21
1024,expecting,21
321,areas,21
1712,able,21
965,cruise,21
146,number,21
263,use,21
878,min,21
602,either,21
1334,offer,20
1106,mine,20
1136,save,20
1378,city,20
722,best,20
449,lightyear,20
1075,started,20
1300,guess,20
765,th,20
883,within,20
166,members,20
874,season,20
262,used,20
416,haunted,20
659,holidays,20
1230,person,20
1496,seems,20
1126,mind,19
945,opened,19
1608,parents,19
339,picture,19
273,tired,19
2111,side,19
232,car,19
373,on,19
293,please,19
1677,waited,19
2301,cutting,19
544,gate,19
1259,version,19
1158,overpriced,19
1894,came,19
285,drink,19
1095,pricey,19
762,value,19
2494,anyone,19
1263,longer,19
983,lack,19
911,managed,19
1385,help,19
211,tried,19
598,amazing,19
1590,wrong,19
2069,keep,19
1566,hardly,19
313,ever,19
747,huge,19
257,entry,19
11,chicken,18
1123,earth,18
749,opening,18
1901,put,18
17,ended,18
905,peak,18
569,hyperspace,18
147,guests,18
1465,closing,18
978,age,18
484,decided,18
1722,stayed,18
592,friends,18
1346,bag,18
337,souvenirs,18
794,single,18
437,past,18
82,choice,18
348,cost,18
1647,chance,17
351,fantastic,17
58,christmas,17
40,along,17
1142,mouse,17
1584,trying,17
2448,fans,17
1046,worse,17
1632,surprise,17
1787,management,17
1220,missing,17
673,seem,17
596,home,17
390,sad,17
1521,expectations,17
105,priority,17
381,coming,17
2502,river,17
1759,imagine,17
417,house,17
704,baby,17
1178,typhoon,17
1363,per,17
56,summer,17
1089,start,17
1184,mostly,16
57,halloween,16
1164,sun,16
640,believe,16
624,finish,16
741,travel,16
1261,total,16
1202,fastpass,16
561,surprised,16
153,online,16
546,pictures,16
1492,choose,16
39,snacks,16
1308,any,16
655,work,16
637,asked,16
2387,problem,16
821,forward,16
1120,discount,16
2391,complete,16
319,renovation,16
1047,meals,16
844,unless,16
1812,takes,15
1531,skip,15
165,cast,15
441,ages,15
3361,airport,15
297,purchase,15
1065,easily,15
