,Word,Count
7,park,16320
23,disneyland,14926
73,rides,12269
78,time,12262
35,disney,11277
26,day,10762
5,get,9364
22,go,8147
25,great,7400
59,ride,7367
90,one,6650
91,would,5621
0,place,5576
55,pass,5224
124,fast,5014
19,kids,4771
28,fun,4707
119,like,4473
63,wait,4414
93,much,4393
153,see,4373
384,lines,4216
148,visit,4176
136,first,4157
156,really,4156
37,food,4079
130,back,4007
257,people,3968
114,world,3959
166,good,3937
135,went,3849
60,times,3844
299,california,3835
349,long,3822
206,line,3754
102,many,3587
100,also,3551
151,days,3499
424,even,3434
390,parks,3332
665,still,3318
281,us,3280
123,love,3244
1,always,3156
292,experience,3155
177,not,3155
276,year,3103
110,mountain,3087
216,well,3040
228,family,3021
201,could,2991
300,adventure,2878
280,best,2878
15,trip,2869
79,every,2787
70,take,2759
693,loved,2730
426,make,2702
181,got,2697
241,going,2686
187,fireworks,2667
403,around,2649
272,early,2605
118,old,2603
52,worth,2481
88,years,2456
452,little,2411
133,everything,2398
57,crowds,2358
189,amazing,2349
188,show,2341
115,way,2323
363,parade,2320
125,passes,2312
150,lot,2274
296,better,2268
11,attractions,2182
184,two,2170
273,magic,2134
139,crowded,2110
653,sure,2057
215,never,2035
159,enjoy,2010
69,want,2006
9,characters,2006
619,new,1983
203,minutes,1923
302,magical,1921
247,staff,1897
128,use,1852
366,night,1810
109,space,1785
129,able,1780
200,enjoyed,1740
198,busy,1717
113,small,1703
268,everyone,1702
639,children,1699
315,cannot,1684
143,hours,1670
406,come,1642
289,hour,1638
412,big,1637
140,think,1625
735,say,1607
354,things,1589
267,recommend,1588
96,made,1587
251,expensive,1546
501,must,1539
179,need,1529
883,wonderful,1516
142,in,1511
271,since,1497
691,visited,1483
483,nice,1464
211,plan,1460
205,waiting,1450
193,took,1431
56,fastpass,1426
249,clean,1423
696,main,1415
446,though,1396
185,last,1379
89,know,1373
263,hotel,1370
943,walk,1366
678,lots,1363
374,right,1344
651,earth,1329
220,tickets,1317
668,friendly,1311
988,star,1306
367,shows,1298
616,pirates,1296
712,closed,1288
559,land,1285
106,jones,1279
13,definitely,1261
948,cast,1261
484,water,1257
357,next,1252
105,indiana,1243
145,spent,1243
589,ticket,1239
1311,getting,1236
471,something,1234
339,another,1223
21,money,1221
340,thing,1218
650,happiest,1215
779,christmas,1212
393,least,1194
245,find,1185
317,enough,1182
697,street,1180
1026,bit,1176
108,awesome,1166
652,happy,1156
134,wanted,1155
389,hopper,1154
286,less,1151
282,stay,1144
802,feel,1135
10,different,1133
30,bring,1122
330,however,1118
1000,favorite,1111
1263,morning,1107
894,theme,1097
928,ever,1091
183,try,1088
792,walking,1082
137,week,1079
666,found,1070
333,members,1060
713,haunted,1053
85,florida,1052
17,especially,1050
297,area,1030
3,special,1029
20,spend,1018
1060,daughter,995
575,whole,988
411,splash,976
831,used,967
643,parades,952
532,eat,932
416,pretty,925
229,without,922
478,fantastic,922
275,th,919
921,kid,918
1811,halloween,909
714,mansion,908
18,young,907
561,adults,898
849,end,898
326,said,892
65,castle,885
1143,season,885
566,popular,884
584,mickey,883
244,visiting,880
798,original,874
931,service,874
736,three,873
218,parking,866
1329,walt,861
524,may,858
192,helpful,857
39,etc,855
1264,open,847
441,done,844
207,system,843
250,yes,842
1326,quite,829
774,keep,813
43,several,810
551,price,809
94,smaller,809
141,bad,806
1293,truly,803
968,on,803
400,full,801
965,break,798
568,matterhorn,795
164,let,794
813,couple,792
16,ages,787
866,away,787
576,thought,787
699,hot,786
985,ones,786
418,cars,782
351,app,780
521,front,779
172,free,771
591,minute,770
832,part,765
58,huge,753
522,overall,751
2310,child,747
685,queues,742
481,prices,741
690,although,741
194,son,737
132,almost,736
1025,lunch,734
1158,holiday,734
413,thunder,730
959,close,728
1011,age,725
1413,look,721
199,places,720
321,check,716
1287,disneyworld,713
378,later,712
617,caribbean,712
1425,buy,707
1110,weather,705
721,anaheim,698
71,short,696
417,waited,696
368,fantasmic,695
149,saw,693
347,return,690
875,evening,689
502,watch,683
553,single,682
468,came,681
1541,course,669
962,high,667
673,give,664
1064,left,662
516,second,661
989,tours,661
660,life,660
285,actually,659
352,help,658
1705,husband,657
1178,summer,657
539,felt,654
1004,avoid,649
1228,birthday,646
1831,miss,644
538,expected,637
209,attraction,637
1185,longer,636
293,extra,635
116,beautiful,632
556,save,632
1443,vacation,631
1388,orlando,630
1231,stayed,627
1056,restaurants,623
554,plenty,622
341,expect,622
372,probably,621
869,due,620
221,cost,620
243,memories,618
240,downtown,615
851,leave,613
531,pay,608
751,perfect,608
1125,character,608
1680,crowd,606
1235,wars,604
565,light,602
64,disappointed,599
1403,entrance,595
1120,makes,592
815,party,590
420,told,588
454,dinner,587
574,remember,582
1624,inside,578
1065,rest,577
520,spot,574
364,start,571
841,kingdom,571
127,easy,570
475,absolutely,569
32,nothing,567
908,far,566
1217,run,564
770,work,562
380,available,557
182,snacks,554
558,else,552
498,person,549
1134,cool,545
195,weekend,544
1205,seen,540
431,anything,539
311,annual,538
266,highly,538
8,seeing,538
1268,sit,536
1294,seemed,535
169,super,531
622,late,530
939,half,530
577,afternoon,529
305,wife,527
1376,wdw,526
808,photos,525
222,per,524
1336,put,521
480,outside,520
399,packed,520
903,advantage,518
680,options,518
716,restaurant,515
909,possible,514
511,side,513
274,gets,513
786,stand,513
799,taking,513
496,excellent,511
1736,hard,506
427,near,505
1005,queue,504
223,adult,502
1054,meet,501
428,maybe,501
144,wish,500
83,past,498
560,blast,498
1123,older,495
804,ago,491
1118,seems,490
824,live,485
173,pictures,484
877,planning,484
332,friends,482
1218,gone,481
408,twice,481
733,plus,480
1142,coming,474
147,ca,474
386,already,472
790,looking,472
1546,usually,471
822,prepared,469
1710,decided,467
54,photo,465
248,entire,462
694,atmosphere,460
1711,walked,451
1761,school,448
881,soon,447
77,book,447
882,home,446
564,room,446
540,everywhere,439
1577,rode,436
969,breakfast,435
747,liked,435
1210,bought,435
227,either,434
508,started,434
1411,standing,429
284,we,429
993,employees,426
995,kind,425
783,arrived,425
256,ahead,422
345,others,420
972,areas,420
895,offer,420
1163,security,419
283,resort,419
1849,number,418
1747,opening,417
152,missed,417
1171,hotels,416
730,throughout,411
45,entry,411
1323,opened,411
1765,enter,410
80,mins,410
631,families,409
395,enjoyable,409
62,min,407
2363,might,406
530,matter,405
335,hit,404
611,train,403
146,dl,399
757,along,399
1111,strollers,399
174,taken,398
1072,guests,397
1248,quickly,396
1507,waits,396
1901,top,396
1717,anyone,395
1069,seem,395
1036,stroller,393
542,no,393
964,spring,393
1097,option,391
494,color,390
1351,mouse,389
1700,using,389
1985,member,388
402,move,387
1049,real,387
2993,peter,383
742,true,383
157,forget,382
409,often,381
803,parents,381
382,review,380
672,glad,379
1003,allowed,377
791,instead,376
914,four,375
703,shops,374
1769,across,374
630,pricey,374
1428,ask,373
2910,holidays,373
1779,finally,373
1159,needs,372
38,drinks,371
773,large,370
1057,decorations,370
1257,group,370
6504,anniversary,367
1046,kept,367
950,extremely,366
261,staying,365
1018,rider,364
1172,within,364
1602,trying,363
373,fastpasses,363
515,gate,361
810,phone,360
1013,mid,359
1610,car,359
582,tips,357
1368,princesses,357
726,compared,357
1312,view,356
46,gates,356
1595,entertainment,356
789,watching,355
290,making,355
958,surprised,354
1058,brought,353
1699,stop,353
2112,tip,352
800,gave,351
614,tour,351
1322,managed,351
1148,major,349
473,blue,349
1596,favourite,348
812,ate,348
219,ok,348
308,tired,347
705,fantasyland,346
1346,including,346
1852,fact,344
1146,fan,344
768,someone,344
1677,dining,343
890,detail,343
739,crazy,343
425,amount,343
126,worked,341
620,orleans,341
598,tomorrowland,340
212,point,337
728,shorter,337
2018,house,334
477,mind,334
1551,together,333
2073,head,333
1052,excited,332
2711,quality,332
1623,opens,331
1748,idea,331
1419,town,330
819,shoes,330
846,value,329
81,believe,328
1621,arrive,328
992,cruise,325
980,totally,325
910,any,325
2994,pan,324
2854,nemo,324
2111,longest,323
2399,suggest,323
3078,meal,323
234,admission,321
1220,tell,320
1339,except,318
225,peak,317
876,spectacular,317
419,given,317
98,easier,314
2415,st,313
929,grand,313
319,set,312
1434,changed,311
444,stuff,311
1150,radiator,311
748,universal,310
640,rather,309
2577,wear,308
231,easily,307
474,bayou,305
3099,visitors,304
1245,quick,304
604,railroad,302
975,needed,302
75,max,302
2108,la,301
14,dream,300
981,classic,298
1151,springs,298
1241,problem,296
405,unless,295
1732,access,295
1568,running,295
1643,wrong,294
930,customer,294
279,works,294
1593,certain,294
61,sometimes,291
361,mickeys,291
682,music,290
391,friday,290
1409,roller,290
34,knew,289
879,advance,288
991,jungle,288
941,asked,287
801,chance,286
756,lost,286
500,incredible,285
1613,change,284
533,hope,284
309,understand,283
1074,attention,283
1802,allow,283
585,minnie,283
1157,younger,280
1449,pick,280
918,it,279
1094,reservations,279
629,yet,279
1321,finding,277
811,picture,277
1496,reason,276
1239,princess,276
336,advice,275
738,deal,275
1764,drink,275
850,story,274
1099,order,274
259,online,274
679,shopping,273
41,list,273
1864,ended,272
607,takes,272
1617,off,271
1041,buzz,271
2153,purchase,270
615,map,270
1531,despite,269
1651,tried,269
298,disneys,269
670,paid,268
2900,heat,268
2576,childhood,268
1032,comfortable,266
1309,choose,263
1615,travel,263
1429,ice,263
197,sun,263
415,coaster,262
33,cheap,261
4,feeling,261
3327,thank,261
1079,monday,261
40,read,261
655,spending,261
2195,looked,260
1966,july,260
421,broke,259
1567,event,258
2157,priced,258
2372,five,258
1952,city,256
398,monorail,256
167,purchased,255
1337,working,255
2350,southern,255
1377,paris,255
154,oh,254
1389,size,254
871,hand,253
2712,exciting,252
635,unfortunately,252
1601,forward,252
322,multiple,252
1654,eating,251
1265,otherwise,251
2109,straight,251
2648,tower,251
863,fabulous,251
2731,amusement,250
3670,october,249
265,meals,248
1825,smile,247
548,overpriced,247
1333,simply,247
2668,saturday,246
661,thrill,245
2885,anywhere,245
1140,adventures,245
767,job,244
287,goes,243
1649,themed,243
392,sunday,242
383,planned,242
1067,care,242
760,experienced,241
3176,treat,241
2849,lights,239
1480,cafe,239
314,research,239
1461,inn,238
1370,snow,238
1644,riding,238
1138,middle,238
1777,note,238
440,ready,237
1303,over,237
2744,certainly,237
306,daughters,237
2305,girls,236
878,months,235
1783,shuttle,235
749,please,235
355,moment,234
1669,dole,234
348,reasonable,233
1628,expectations,232
2044,month,231
1180,disappointing,231
1068,noticed,231
168,maxpass,231
2359,average,230
2300,again,228
1260,lucky,227
1965,impressed,225
707,visits,225
2649,terror,225
1066,fine,225
1788,behind,225
1243,nearly,224
2484,become,224
121,mr,224
3091,usual,224
2575,bigger,223
1919,called,223
1193,included,223
599,skip,222
1725,paint,222
160,face,220
1412,ups,219
1490,wow,219
371,earlier,219
334,recently,218
761,rude,218
318,heart,217
1579,feet,216
3602,lovely,216
886,opinion,216
74,grab,216
2219,name,216
1247,low,215
2643,completely,215
624,january,215
338,experiences,215
1091,returned,215
1421,dark,214
529,pack,214
1355,met,214
2075,lifetime,214
1597,tiki,213
1573,guide,213
1034,boys,212
1684,slow,212
1147,download,211
1170,bus,211
758,third,211
1001,weekends,211
987,favorites,211
1636,six,210
1641,shop,210
2384,onto,207
621,square,207
1023,rain,206
2776,store,206
2375,australia,206
1232,site,205
1283,heard,205
537,guess,205
545,dont,205
2151,difference,205
1335,guest,204
2196,helped,204
442,paying,204
3473,september,203
954,saved,203
1106,enjoying,203
2828,fantasy,202
1137,closing,202
1534,moving,202
1714,track,202
2596,studios,201
1975,souvenirs,201
3363,till,201
1019,dca,201
1687,thanks,201
2327,cream,200
2549,celebration,199
180,add,199
3172,december,198
2191,limited,198
2237,tuesday,198
2039,bag,198
1367,meeting,198
1988,safe,197
2707,means,197
2188,disappoint,196
1253,baby,196
2229,choice,196
509,seating,196
76,allows,196
1936,frozen,196
2615,literally,196
1438,trips,195
752,comes,194
1743,submarine,194
2971,decorated,194
1422,scary,194
497,seats,193
3381,display,193
449,reviews,193
1514,schedule,192
1168,website,192
86,location,192
1686,anyway,192
1410,after,190
2379,brilliant,189
797,cheaper,189
1279,similar,189
506,disappointment,189
1126,opportunity,188
2763,non,188
1780,august,188
552,ridiculous,188
1271,plaza,187
1931,fans,187
44,items,187
1670,whip,187
370,catch,186
4092,beat,186
2529,movie,186
186,watched,185
1824,girl,185
3333,thursday,184
178,case,184
1416,prior,184
593,tram,183
2600,candy,183
291,difficult,182
51,bottles,182
1418,toon,182
1460,viewing,182
541,turned,181
1324,regular,180
644,events,180
784,moved,180
2318,control,180
2611,river,180
1207,mostly,180
2572,nightmare,180
2804,friend,180
1782,property,179
233,dollars,179
3978,joy,179
1029,turn,178
303,changes,178
1619,biggest,178
72,cut,177
669,variety,177
1521,racers,177
1141,grew,177
785,saying,176
1343,seat,176
1042,lightyear,176
1565,out,176
656,nights,175
717,choices,175
1659,yr,175
1796,unique,175
2240,local,175
1406,shut,174
2403,midnight,173
2056,toontown,172
911,maintenance,172
2739,consider,172
1787,history,172
833,looks,172
2434,eyes,171
445,delicious,171
92,compare,171
1212,honestly,171
210,added,170
868,leaving,170
1789,gives,170
1238,issue,170
2818,e,170
3158,healthy,170
1006,pleasant,170
204,waste,170
1843,highlight,169
1177,imagine,168
1953,hall,168
1749,helps,167
2100,employee,167
2950,important,166
754,walts,166
495,package,166
1692,offered,165
1778,grown,165
1949,surprise,165
4445,shade,165
344,busier,165
1103,alone,165
1096,booked,164
2826,share,164
823,relax,163
3368,memorable,163
255,budget,163
2977,quiet,162
2935,traffic,162
1173,distance,162
1316,interesting,162
2354,boat,162
2570,charge,162
396,bags,161
162,sad,161
337,learn,161
4068,details,161
4059,carry,160
844,sleeping,160
700,spots,160
1195,play,160
1402,future,159
829,example,159
1267,reservation,159
237,card,159
1892,grandchildren,159
2646,goofy,159
3121,rd,159
4401,drive,159
450,chicken,158
2835,built,158
3590,obviously,158
2325,loves,158
485,bottle,158
609,various,158
5181,june,157
2234,mean,157
2057,wet,157
2000,while,156
1948,considering,156
264,bringing,156
1821,turkey,156
2088,filled,156
2,forever,156
2298,toy,156
1558,holders,155
1564,teenagers,155
1214,dreams,154
1646,boy,154
1559,fair,154
4056,hold,154
1423,alice,154
2673,offers,153
2265,fire,153
1108,warm,153
5017,training,153
701,stores,153
3028,firework,152
825,coast,152
658,prefer,152
2104,costs,152
307,thoroughly,152
563,alot,151
1742,carribean,151
1295,call,151
2601,trick,150
2585,beyond,150
1075,happen,149
1012,stopped,149
2252,frontierland,149
1080,complaint,149
2060,exit,149
1424,wonderland,148
3603,table,148
1400,construction,148
1028,ears,148
1880,addition,148
1397,general,148
1017,fairly,148
432,decent,147
1361,dumbo,147
623,november,147
4972,jedi,147
1503,total,147
999,nap,146
3691,negative,146
923,parts,146
2367,electric,145
1153,noon,145
1766,level,145
1709,lived,145
1729,notice,145
1696,appreciate,145
2858,hollywood,145
1553,version,144
1472,happened,144
1557,faces,144
407,manage,144
517,stood,143
1629,problems,143
3565,screamin,143
213,complete,143
1053,grandkids,143
2206,afford,143
2766,whether,143
2997,feels,143
1114,road,143
2409,wednesday,143
2539,aladdin,143
2459,normal,142
855,penny,142
1371,white,142
1062,none,142
376,drop,142
1886,issues,142
1539,basically,142
490,country,142
4138,weekday,142
782,activities,141
1071,talking,141
5514,hyperspace,141
1354,pooh,141
967,fill,140
4589,movies,140
3848,cover,140
2220,type,140
936,ran,140
2827,californian,140
3323,air,140
1280,ways,140
2249,adventureland,139
3452,soarin,139
2015,headed,139
138,april,139
3895,nearby,139
2976,meant,139
2789,starts,139
3967,usa,139
1956,information,139
1983,fall,138
388,expecting,138
2741,queuing,138
1160,lives,138
1516,stuck,138
2541,chose,138
1358,a,138
1962,traveling,137
2314,updated,137
3287,talk,137
2210,okay,137
3993,seriously,137
778,aware,137
681,merchandise,137
915,weeks,137
3076,tons,137
1583,thinking,137
1144,amazed,137
3986,recent,136
935,wheelchair,136
523,learned,136
2167,before,136
2880,fit,136
3120,today,135
4334,wonder,135
613,recommended,135
2843,section,135
1721,bobsleds,135
1794,mom,135
1569,cute,135
1391,excitement,135
224,during,135
217,maintained,135
163,refurbishment,134
2047,perhaps,134
3219,pin,134
2058,sell,134
2834,unlike,134
990,autopia,134
2863,faster,133
1934,knows,133
994,incredibly,133
2329,wild,132
3092,teens,132
53,buying,132
3372,row,131
2797,pizza,131
175,photographers,131
2078,camera,131
555,socal,130
860,cleanliness,130
1505,upon,130
1374,corn,130
1359,tea,130
933,leg,130
1470,tomorrow,130
6,entering,130
2345,miles,129
1759,february,129
602,station,129
295,overwhelming,129
4108,sons,129
6051,nd,129
2376,winter,129
1792,navigate,128
1105,folks,128
3596,discount,128
3223,u,128
2324,lack,128
394,busiest,128
1979,bathrooms,128
4315,flight,128
2214,brings,128
1459,march,128
845,beauty,127
3319,screaming,127
727,larger,127
2258,organized,126
2946,hardly,126
4023,locals,126
3412,lol,126
1338,celebrate,126
1581,man,126
2161,soaring,126
562,downside,125
2425,snack,125
2613,cold,125
1630,continue,125
1679,mention,125
702,gift,125
572,granddaughter,125
1174,figure,125
2945,photopass,124
3534,cant,124
3013,dressed,124
3314,rush,123
1128,generally,123
600,pre,123
1752,willing,123
856,preferred,123
1252,key,123
956,sister,123
925,absolute,123
1394,towards,123
505,massive,123
1785,charm,122
3685,aged,122
510,sat,122
1136,fresh,122
2848,fruit,122
190,workers,122
1274,ball,122
2122,forth,122
1498,stars,121
1645,closer,121
2851,whatever,121
2890,breaks,121
87,numerous,120
2806,public,120
1776,entertaining,120
708,dw,120
2029,mornings,119
1176,particularly,119
3460,anymore,119
3431,capacity,119
1549,celebrating,119
436,exactly,119
2077,door,119
1556,smiles,118
1342,sitting,118
1357,sign,118
107,fl,118
1562,restrooms,117
410,broken,117
2378,pier,117
3560,thanksgiving,117
2053,sold,116
1375,dog,116
1206,thousands,116
579,returning,116
820,sunscreen,116
3142,fee,116
3745,fountains,116
1910,immediately,116
1284,picked,116
1396,cancelled,115
1050,happiness,115
2610,grizzly,115
4150,starting,115
2856,rent,115
170,convenient,115
2881,p,114
963,beginning,114
2097,smiling,114
610,lands,113
2028,backpack,113
1082,complain,113
2308,toads,113
1196,whilst,112
596,located,112
5798,fp,112
3362,didnt,112
765,step,112
1921,manageable,112
191,polite,111
3826,pace,111
2172,patience,111
1373,churros,111
2404,closes,111
1167,stick,111
1566,prepare,110
2485,following,110
1305,so,110
955,traveled,110
1051,minimum,110
1898,if,110
1863,hate,110
709,slightly,110
3178,san,109
1224,worse,109
2106,costumes,109
1803,says,109
1588,saves,109
570,my,109
1230,missing,109
3649,moments,109
2021,pool,109
2137,wheel,109
1572,treats,109
922,parent,108
4479,autographs,108
2101,whenever,108
375,rope,108
4468,keeping,108
557,somewhere,108
3387,weekdays,107
2960,bother,107
2208,island,107
2351,vip,107
1497,giving,107
5599,known,107
1448,comparison,107
1225,personally,107
379,showing,106
1923,ten,106
2159,colour,106
2862,personal,106
1661,based,106
4020,ton,105
2143,legs,105
1524,window,105
2031,business,105
3236,locations,105
2003,sort,105
316,stress,105
1633,hands,105
626,date,105
2876,america,105
5540,streets,105
1456,realize,104
3102,eve,104
1353,winnie,104
2791,sea,104
356,decide,104
2432,thru,104
684,impressive,104
5642,locker,104
2017,cooler,104
1404,constantly,104
1116,effort,103
3395,limit,103
3157,dogs,103
2184,minimal,103
397,checked,103
401,impossible,103
1466,compact,103
2302,class,103
3356,daily,103
1444,sense,103
4485,professional,103
2041,frustrating,103
3085,coasters,102
1007,grounds,102
214,bucket,102
1854,surprisingly,102
2921,exhausted,101
2719,sorry,101
