,Word,Count
22,park,3101
23,disney,2782
14,rides,2377
3,disneyland,1871
82,time,1637
63,day,1592
6,get,1560
37,would,1529
100,one,1461
246,go,1329
299,ride,1304
43,people,1216
240,food,1070
11,staff,903
105,us,892
416,even,880
279,like,873
16,could,865
25,2,804
117,not,796
472,kids,786
52,went,784
67,long,781
471,paris,776
383,many,761
19,place,761
75,really,755
291,closed,748
158,back,738
120,wait,731
242,good,727
131,line,719
69,experience,694
407,parks,675
206,much,674
409,see,672
400,minutes,656
403,fast,633
85,around,627
139,visit,626
35,money,622
239,queue,615
500,times,610
404,pass,609
134,3,605
236,children,601
584,hour,600
111,also,579
64,queues,567
126,hours,558
257,two,550
133,attractions,547
163,got,545
421,lines,524
195,waiting,519
357,way,512
619,first,511
378,year,503
24,characters,495
338,going,492
128,small,486
150,better,480
363,well,475
88,hotel,466
457,expensive,462
735,4,457
54,5,441
719,old,437
1018,days,434
74,tickets,425
234,take,422
408,world,421
733,family,420
709,magic,415
439,years,414
729,think,410
482,disappointed,409
786,mountain,404
426,say,403
68,great,399
490,never,388
579,trip,380
247,told,374
220,florida,370
181,show,367
628,1,364
137,lot,359
620,last,355
31,in,354
560,visited,351
310,every,343
1019,parade,341
391,still,340
153,another,338
12,want,336
274,need,334
173,ticket,330
942,make,322
365,half,320
470,california,310
355,little,309
169,open,305
223,worth,304
17,find,303
253,know,301
636,service,299
132,big,296
21,fun,296
826,main,291
165,10,291
717,took,290
514,crowded,287
375,come,286
935,said,286
1092,however,284
62,crowds,279
326,rude,277
707,found,276
73,spent,275
997,30,271
344,thing,268
260,made,265
516,cannot,262
135,everything,261
278,things,259
1252,space,258
427,least,256
366,poor,256
340,price,255
39,enough,253
432,pay,248
706,nothing,247
127,left,246
289,restaurants,243
1125,walk,239
1,let,237
255,bad,235
663,due,233
346,early,233
429,new,232
599,whole,232
406,theme,230
147,prices,226
60,expect,225
245,wanted,224
475,spend,223
691,less,221
1169,20,221
263,saw,217
914,front,217
903,felt,216
800,nice,215
1267,thought,214
799,though,212
467,etc,212
