,Word,Count
122,disney,772
24,park,766
10,rides,685
59,food,439
165,would,402
116,day,392
3,go,374
196,one,373
131,disneyland,373
315,get,363
6,time,360
141,paris,350
459,staff,333
174,closed,326
292,expensive,315
47,people,297
50,queues,276
203,ride,256
234,us,249
143,even,229
468,children,224
733,queue,224
198,like,222
107,went,209
724,disappointed,209
128,money,207
100,long,203
82,kids,203
35,visit,197
99,around,191
214,parks,191
415,could,185
255,see,183
282,really,183
123,characters,183
213,not,180
420,wait,176
13,back,176
0,place,171
106,experience,167
115,minutes,164
51,hour,159
771,year,157
11,attractions,155
61,also,152
312,bad,150
31,never,149
57,hours,145
215,florida,143
138,two,140
112,days,138
366,got,138
225,much,137
276,tickets,137
58,waiting,136
816,hotel,136
76,poor,134
246,rude,134
134,times,131
39,lot,129
41,visited,129
46,many,124
38,cold,121
173,half,121
309,service,119
93,small,114
367,say,113
695,take,113
701,going,113
923,old,112
222,little,111
55,fast,111
307,trip,110
586,told,108
25,well,102
989,parade,102
488,family,100
737,mins,99
406,think,99
34,good,99
231,way,95
893,french,95
421,everything,93
147,smoking,93
64,still,92
838,euros,92
20,restaurants,91
329,big,90
126,in,90
15,every,89
1083,awful,89
979,years,88
105,disappointing,87
85,terrible,87
142,first,87
423,pass,86
221,line,86
86,worst,85
155,find,85
4,least,84
905,better,84
352,mountain,80
452,queuing,80
482,due,80
719,need,80
435,eat,79
911,make,78
642,open,78
818,found,77
194,saw,75
704,another,75
114,last,74
670,spent,74
907,whole,74
424,ticket,74
370,know,73
702,dirty,73
813,cannot,72
364,waste,72
281,nothing,72
1150,prices,71
233,lines,71
359,left,71
337,bit,70
1076,quite,69
631,said,69
547,felt,68
1031,disappointment,68
331,euro,68
193,no,66
332,adults,66
127,magic,66
67,made,66
121,meet,66
87,ever,65
110,daughter,65
433,took,65
866,world,65
37,weather,64
1540,worth,64
1074,shops,64
146,show,64
212,save,63
1078,child,63
21,toilets,63
772,thing,63
777,several,63
956,main,63
144,though,63
412,away,62
971,enough,61
535,overpriced,61
661,expected,61
113,everywhere,60
97,lots,60
347,feel,60
408,next,60
446,however,60
870,buy,60
451,paid,60
208,broken,59
553,quality,59
154,restaurant,59
111,three,59
1198,expect,58
945,walking,58
902,minute,58
374,cost,57
2098,theme,57
118,lack,56
958,queued,56
999,want,56
752,things,56
839,use,55
464,on,54
567,booked,54
341,orlando,54
597,wanted,54
659,front,54
549,young,54
387,th,53
410,train,52
342,mickey,52
1493,tired,52
1190,broke,52
832,come,52
1180,less,51
860,holiday,51
883,recommend,51
1264,looking,50
1578,thought,50
383,pay,50
469,disgusting,50
755,extremely,50
522,etc,50
96,busy,49
149,areas,49
160,walk,49
351,thunder,49
604,customer,49
904,drink,49
1,everyone,49
1279,came,49
172,anything,48
735,ridiculous,48
568,princess,48
40,fun,48
867,must,48
275,price,47
2247,drinks,47
1098,great,47
779,stay,47
45,let,46
201,pirates,45
440,water,45
1938,avoid,45
1834,stayed,45
1526,four,44
227,number,44
909,something,44
265,try,44
1940,studios,44
434,places,44
569,lunch,44
1153,space,43
684,waited,43
140,ago,43
1073,working,43
641,although,42
398,either,42
853,disabled,42
967,actually,42
673,character,42
1064,spend,42
748,magical,42
660,asked,41
381,attraction,41
345,far,41
740,maintenance,41
428,huge,41
559,second,40
272,definitely,40
990,managed,40
1181,crowded,40
184,cast,40
1059,leave,40
170,without,40
277,almost,39
83,hard,39
392,trying,39
339,help,39
152,outside,39
1086,average,39
218,getting,39
357,land,39
1678,prepared,38
454,shows,38
304,anyone,38
283,new,38
32,give,38
465,night,38
840,whilst,38
814,always,38
573,seemed,38
997,overall,38
644,put,37
2205,look,37
1094,hardly,37
700,part,37
844,absolutely,37
84,work,37
279,since,37
355,shut,37
401,decided,36
715,needs,36
185,members,36
358,else,36
1002,unfortunately,36
497,looked,36
1293,end,36
995,ones,36
924,son,36
340,especially,36
622,smoke,35
385,arrived,35
757,fact,35
794,wrong,35
1068,high,35
425,return,35
1515,visiting,35
371,start,35
889,sit,35
379,book,35
988,mouse,34
308,nice,34
1145,sorry,34
863,care,34
570,full,34
299,hot,34
377,per,33
471,point,33
662,close,33
211,seen,33
698,may,33
1252,area,33
588,meal,33
48,already,33
1409,instead,33
1423,yes,33
477,understand,33
1445,rain,32
1511,american,32
1313,check,32
985,parades,32
1256,tried,32
1225,amount,32
169,past,32
654,major,32
734,min,32
90,rip,32
1165,week,32
1934,france,32
1795,coaster,32
1149,done,32
73,coffee,32
1735,given,32
1621,unless,32
1667,later,32
741,extra,32
1830,village,31
565,princesses,31
758,miserable,31
1088,eurodisney,31
1424,season,31
232,longer,31
256,finally,31
239,passes,31
17,person,31
1923,technical,30
713,station,30
1757,enjoyed,30
427,returned,30
637,run,30
672,stand,30
449,standing,30
101,ques,30
2007,different,30
92,ok,29
1308,star,29
531,sure,29
291,crazy,29
399,walt,29
133,usa,29
396,entrance,29
523,despite,29
906,slow,29
129,making,29
1160,we,29
489,christmas,28
260,allowed,28
630,horrible,28
350,priced,28
908,weekend,28
216,california,28
723,order,28
496,room,28
714,others,28
52,plus,28
1258,round,27
731,paying,27
202,caribbean,27
1346,bother,27
970,fireworks,27
1170,available,27
226,smaller,27
1097,uk,27
946,worse,27
91,hotels,27
1783,seem,27
1714,breakfast,27
881,bought,27
781,home,26
1232,couple,26
689,single,26
747,eating,26
199,member,26
1861,mind,26
54,called,26
68,sad,26
29,twice,26
1035,maybe,26
1739,complete,26
301,burger,26
384,nearly,26
617,filthy,26
744,ended,25
44,simply,25
996,keep,25
1548,total,25
1819,early,25
1144,compared,25
1617,roller,25
323,inside,25
171,saying,25
776,dont,25
914,visitors,25
803,side,25
180,ice,24
243,unhelpful,24
2313,pushing,24
1034,crowds,24
775,booking,24
643,course,24
372,review,24
1164,stop,24
861,seems,24
607,choice,24
1467,difficult,24
1154,short,24
1140,english,24
600,obviously,24
1067,plenty,24
751,refurbishment,24
707,impossible,24
1069,standards,24
1166,fantastic,24
1271,taking,23
108,husband,23
413,walked,23
628,any,23
877,wife,23
2208,peter,23
2039,pan,23
336,friendly,23
1027,castle,23
1018,massive,23
443,summer,23
343,biggest,23
2233,please,22
119,information,22
1066,loved,22
1060,throughout,22
1340,mean,22
710,shop,22
237,system,22
520,evening,22
1375,behind,22
486,turned,22
2148,parents,22
132,disneyworld,22
1568,meant,22
1183,didnt,22
2467,apart,22
378,adult,22
918,photo,22
297,chips,22
929,attitude,22
1577,planned,22
515,move,22
1278,tell,22
1344,frozen,21
545,value,21
756,feeling,21
1211,street,21
864,customers,21
2198,totally,21
120,site,21
407,gone,21
2304,wish,21
583,started,21
1335,clean,21
783,e,21
669,probably,21
177,kept,21
2476,rubbish,21
158,anywhere,21
461,sadly,21
1077,near,21
1746,problem,21
1573,break,21
519,late,21
1639,resort,21
753,cancelled,21
675,general,21
1502,management,21
609,que,20
1148,entire,20
718,name,20
1425,august,20
1373,stood,20
830,oh,20
2664,light,20
1763,reason,20
766,rather,20
968,gave,20
601,girl,20
1099,looks,20
9,ages,20
1314,car,20
1756,third,20
1963,refund,20
1091,peak,20
1449,breaking,20
422,used,20
1134,dinner,20
162,europe,20
926,america,20
685,moving,20
1624,boring,20
89,cafe,19
1199,real,19
1167,badly,19
1185,love,19
1267,purchased,19
526,travel,19
1299,rest,19
484,supposed,19
348,ripped,19
955,none,19
1827,table,19
1988,group,19
891,buzz,19
1772,opened,19
400,studio,19
273,set,19
1435,crowd,19
1652,might,19
947,security,19
974,bus,19
168,right,19
1033,enjoy,19
978,chance,18
1522,decent,18
125,photos,18
2241,including,18
334,shame,18
513,wet,18
778,problems,18
1875,free,18
389,nightmare,18
1213,atmosphere,18
598,ask,18
581,pretty,18
1217,bring,18
1113,guess,18
236,fastpass,18
983,makes,18
405,within,18
1997,speak,18
868,city,18
1715,june,18
509,morning,18
2734,holidays,18
728,case,18
1008,yet,18
2584,non,18
1750,advice,18
2325,pushed,17
1095,sell,17
2084,toilet,17
705,wasted,17
1143,birthday,17
181,cream,17
1605,comparison,17
663,plan,17
1237,signs,17
3235,seeing,17
2238,completely,17
5,life,17
2224,anaheim,17
263,frustrating,17
750,hand,17
1666,five,17
638,someone,17
1516,minnie,17
3788,buffet,17
611,cut,17
361,tea,17
1775,soon,17
1581,facilities,17
480,often,17
1075,generally,17
773,advise,17
148,designated,16
19,adventure,16
1646,jones,16
1699,dreadful,16
375,gate,16
1612,picture,16
2523,bottle,16
1771,needed,16
1172,offered,16
66,pre,16
950,cheap,16
1117,planet,16
1939,months,16
2335,over,16
2022,snow,16
2062,pizza,16
2003,certainly,16
1057,families,16
210,brand,16
1471,guests,16
479,travelled,16
1006,helpful,16
1065,tour,16
2108,merchandise,16
1004,expectations,16
252,cigarette,16
1300,changed,16
2124,excited,16
56,track,16
1898,taken,16
1245,dated,16
953,aged,16
1574,annoying,16
1580,believe,16
2616,closures,16
458,issue,16
75,offer,16
578,sat,16
782,together,16
1017,empty,15
847,shocking,15
939,policy,15
855,clearly,15
178,running,15
1058,upset,15
2424,standard,15
736,mention,15
765,write,15
937,loads,15
2514,unfriendly,15
1040,baby,15
1233,leaving,15
1993,hall,15
1645,indiana,15
3005,saved,15
1304,tours,15
4006,complained,15
457,able,15
2099,hate,15
1527,bored,15
1930,younger,15
1799,anniversary,15
1506,turn,15
2709,horrendous,15
564,meeting,15
1926,fine,15
262,incredibly,15
1607,organised,15
2220,board,15
1972,large,15
2207,seriously,15
481,again,15
344,complaint,15
1601,outrageous,15
270,checked,15
1906,queueing,14
768,dlp,14
438,nowhere,14
463,issues,14
1291,shopping,14
453,organisation,14
1865,chicken,14
542,unable,14
109,grandchildren,14
