,Word,Count
71,park,609
0,disneyland,546
53,rides,466
216,disney,465
139,day,377
210,time,355
137,get,354
254,go,335
14,people,294
51,ride,273
214,would,259
56,place,246
274,one,245
49,line,238
400,lines,233
142,not,209
83,long,204
197,wait,198
379,like,197
109,went,194
108,kids,187
247,disappointed,184
146,food,183
103,could,183
149,expensive,181
88,even,170
588,crowded,169
2,times,161
268,never,155
315,back,148
279,crowds,145
42,us,145
5,visit,144
33,see,142
248,way,140
320,closed,135
63,money,134
514,bad,133
426,around,127
635,parade,126
50,hours,126
91,experience,125
226,going,124
498,minutes,117
280,family,117
265,year,115
267,years,113
77,pass,112
563,world,112
110,little,111
465,also,109
206,got,108
495,hour,106
121,much,105
410,two,103
196,really,101
251,days,100
433,small,99
307,california,99
11,staff,94
301,many,94
120,earth,94
205,still,93
127,mountain,91
81,trip,90
209,waiting,90
122,fun,89
167,tickets,88
266,every,87
365,everything,87
335,take,87
289,least,86
119,happiest,85
135,fast,84
145,lot,83
448,old,83
933,always,81
54,last,80
814,attractions,79
648,first,78
502,walk,77
376,know,73
62,make,73
97,parks,73
519,think,72
202,told,71
339,children,69
277,in,69
424,characters,69
447,disappointing,68
345,ticket,68
577,love,67
95,spent,66
626,say,66
633,adventure,64
293,another,64
90,come,63
96,visited,63
421,worth,63
283,well,63
895,cannot,63
402,made,62
922,cast,62
215,want,61
428,fireworks,60
198,waited,60
482,less,59
114,worst,59
935,passes,58
566,things,58
324,ever,56
661,since,56
29,space,56
269,prices,56
234,rude,56
1033,big,55
19,need,54
601,took,54
47,pay,54
85,broke,53
133,busy,53
494,half,53
321,due,52
26,everyone,52
621,nothing,52
567,find,52
499,terrible,52
640,night,52
675,christmas,51
1058,crazy,51
25,show,50
386,left,50
303,wanted,49
65,ridiculous,49
270,getting,49
611,said,48
999,jones,48
250,spend,48
414,let,48
294,parking,47
412,must,47
1531,area,46
1,several,46
575,florida,46
368,season,45
998,indiana,45
41,next,45
469,almost,45
532,hard,45
235,found,45
296,broken,45
712,good,44
968,felt,44
340,awful,43
539,queues,43
582,walt,43
238,thing,43
554,early,43
636,great,43
147,price,43
782,members,43
372,th,42
415,holiday,41
388,waste,41
1574,week,40
113,thought,40
322,though,40
1325,move,40
1256,service,40
3,past,40
20,fastpass,39
589,poor,39
489,away,39
691,part,39
255,wrong,39
32,without,39
93,disappointment,39
986,land,39
385,enough,38
669,however,38
336,three,37
525,sad,37
94,amount,37
749,crowd,37
286,lots,37
257,daughter,37
48,stand,37
1020,disneyworld,36
425,walking,36
73,recommend,36
1038,main,36
418,theme,36
716,sure,36
969,front,36
580,per,36
550,packed,36
533,anything,35
36,whole,35
117,horrible,35
212,leave,35
520,use,35
217,better,35
1228,paid,35
1179,enjoy,35
299,magical,35
912,pirates,35
260,star,34
69,rest,34
908,tried,34
503,on,34
2040,expect,34
1411,expected,34
1072,standing,34
144,give,34
306,new,34
815,either,33
501,impossible,33
544,queue,33
131,matterhorn,33
300,orlando,33
2324,break,32
449,mickey,32
1282,hotel,32
211,min,32
366,overpriced,32
612,tired,32
239,trying,32
305,something,32
1291,annual,32
406,guests,32
440,actually,31
304,try,31
325,return,31
643,hopper,31
79,came,31
430,unfortunately,31
813,waits,31
84,couple,31
203,working,31
755,no,31
432,saw,31
657,feel,30
1346,member,30
141,cost,30
492,used,30
218,visiting,30
378,seemed,30
574,eat,30
1405,street,30
377,shut,30
7,employees,30
505,asked,30
264,later,30
207,avoid,30
405,number,30
743,started,29
1485,seems,29
464,high,29
744,water,29
1191,life,29
1457,four,29
1421,else,29
123,families,29
395,especially,29
55,minute,28
68,sit,28
674,halloween,28
971,strollers,27
1488,yes,27
677,haunted,27
1756,evening,27
780,difficult,27
243,needs,27
399,help,27
645,son,27
105,morning,27
568,different,27
429,end,27
1053,done,26
67,places,26
649,arrived,26
74,universal,26
452,child,26
904,buy,26
493,finally,26
500,stroller,26
1288,weekend,26
767,keep,26
1616,seen,25
683,look,25
690,longer,25
1245,drinks,25
751,hate,25
297,dirty,25
911,party,25
496,kid,25
900,ones,25
730,start,25
1748,twice,25
581,person,25
497,everywhere,25
82,extremely,25
738,sorry,24
134,late,24
880,system,24
1640,someone,24
985,save,24
667,attraction,24
102,maybe,24
86,castle,24
586,magic,24
461,quite,24
603,cold,24
1042,young,24
308,instead,23
759,run,23
391,check,23
686,room,23
504,we,23
1397,mins,23
100,making,23
2151,gone,23
1525,walked,23
790,daughters,23
1388,ago,23
186,spring,23
52,average,23
1076,hot,23
742,point,23
1225,outrageous,22
599,dollars,22
1747,stay,22
876,pretty,22
1052,summer,22
941,worse,22
629,course,22
106,admission,22
1029,entry,22
253,close,22
1595,customer,22
711,overall,22
1442,allowed,22
92,huge,22
258,already,22
583,called,22
1243,probably,21
298,definitely,21
487,security,21
662,coming,21
126,splash,21
1675,inside,21
1401,able,21
1198,may,21
587,anymore,21
22,watch,21
1530,right,21
2087,side,21
1167,thunder,20
1211,entrance,20
595,any,20
1551,restaurants,20
1286,bring,20
435,behind,20
483,school,20
1065,while,20
417,anyone,20
64,care,20
718,happened,20
252,open,20
75,studios,20
914,mansion,19
736,character,19
1186,cars,19
703,understand,19
619,saying,19
727,looking,19
1172,train,19
578,although,19
620,etc,19
802,lost,19
725,changed,19
1374,paris,19
37,entire,19
256,wife,19
132,gets,19
222,far,19
99,happy,19
1432,problem,19
1517,second,19
1642,miserable,19
1825,makes,19
292,plus,19
1667,single,19
1839,priced,19
272,control,18
1273,nice,18
1888,holidays,18
641,vacation,18
746,total,18
1078,parents,18
695,reason,18
1384,yet,18
1365,guess,18
330,la,18
1960,online,18
1069,heat,18
1018,others,18
658,hardly,18
660,areas,18
1056,compared,18
361,taking,18
1404,downtown,18
1870,shoulder,18
118,truly,18
951,stop,18
956,shuttle,18
404,limit,18
1671,lunch,18
1407,full,18
854,review,18
1266,blast,18
1342,given,17
576,absolutely,17
1855,frustrated,17
917,after,17
1451,meal,17
1826,moving,17
1064,boring,17
1063,bit,17
663,original,17
920,shops,17
2865,along,17
953,car,17
949,barely,17
98,overcrowded,17
1396,it,17
1788,anaheim,17
909,tell,17
1553,parades,17
104,adults,17
261,wars,17
511,please,17
312,husband,17
2334,maintenance,17
334,decided,17
678,house,17
35,picture,17
723,over,17
396,work,17
732,photo,17
1315,knew,17
30,paying,17
1618,live,17
2225,major,16
1326,extra,16
1593,usually,16
1300,shame,16
623,managed,16
17,fantasmic,16
2163,plan,16
735,outside,16
894,mean,16
1869,frustrating,16
1154,home,16
713,shows,16
729,drink,16
764,running,16
807,resort,16
1071,complaint,16
1362,turned,16
57,become,16
2759,meet,15
836,spending,15
1337,together,15
1738,ended,15
23,fan,15
2729,short,15
2327,pizza,15
538,peak,15
249,treated,15
2145,change,15
401,opened,15
1395,loved,15
899,seem,15
1088,wish,15
1742,thinking,15
2300,friendly,15
1799,disneys,15
276,slow,15
87,construction,15
1801,soon,15
885,quality,15
1134,charge,15
462,insane,15
1092,dark,15
512,limited,15
1603,kept,15
2107,except,15
1090,scary,15
1907,roller,14
1424,enjoyed,14
1415,purchase,14
2234,princesses,14
